protein_id	protein_name	copy_number
JKKLMG_10855	sodium-extruding oxaloacetate decarboxylase subunit alpha	2
JKKLMG_12180	sodium-extruding oxaloacetate decarboxylase subunit alpha	2
JKKLMG_10860	Oxaloacetate decarboxylase beta chain	2
JKKLMG_12175	Oxaloacetate decarboxylase beta chain	2
JKKLMG_20780	ISNCY family transposase	2
JKKLMG_25250	ISNCY family transposase	2
JKKLMG_20785	TIR domain-containing protein	2
JKKLMG_25245	TIR domain-containing protein	2
JKKLMG_04365	lysine--tRNA ligase	2
JKKLMG_14580	lysine--tRNA ligase	2
JKKLMG_24965	IS6 family IS15DIV transposase	11
JKKLMG_24985	IS6 family IS15DIV transposase	11
JKKLMG_25015	IS6 family IS15DIV transposase	11
JKKLMG_25035	IS6 family IS15DIV transposase	11
JKKLMG_25265	IS6 family IS15DIV transposase	11
JKKLMG_25520	IS6 family transposase	11
JKKLMG_25695	IS6 family IS15DIV transposase	11
JKKLMG_25895	IS6 family IS15DIV transposase	11
JKKLMG_25955	IS6 family IS15DIV transposase	11
JKKLMG_25965	IS6 family IS15DIV transposase	11
JKKLMG_25980	IS6 family IS15DIV transposase	11
JKKLMG_25020	Tn3 family transposase	2
JKKLMG_24940	Tn3 family transposase	2
JKKLMG_25200	glutaredoxin-dependent arsenate reductase	2
JKKLMG_25595	glutaredoxin-dependent arsenate reductase	2
JKKLMG_25205	arsenite efflux transporter membrane subunit ArsB	2
JKKLMG_25590	Na+/H+ antiporter NhaD or related arsenite permease	2
JKKLMG_25215	As(III)-sensing metalloregulatory transcriptional repressor ArsR	2
JKKLMG_25575	As(III)-sensing metalloregulatory transcriptional repressor ArsR	2
JKKLMG_25390	IS1 family transposase ORF B	2
JKKLMG_25355	Transposase and inactivated derivatives, IS1 family	2
JKKLMG_12185	Oxaloacetate decarboxylase gamma chain	2
JKKLMG_10850	putative oxaloacetate decarboxylase gamma chain	2
JKKLMG_25600	IS5 family ISKpn26 transposase	5
JKKLMG_25175	Transposase, IS4-like family protein	5
JKKLMG_25180	IS5 family transposase	5
JKKLMG_25280	IS5 family transposase	5
JKKLMG_25275	Transposase	5
JKKLMG_25845	RNAI modulator protein rop	2
JKKLMG_25875	RNAI modulator protein rop	2
JKKLMG_25995	DNA methyltransferase	2
JKKLMG_26030	DNA methyltransferase	2
JKKLMG_26000	Plasmid mobilization relaxosome protein MobC	2
JKKLMG_26035	Plasmid mobilization relaxosome protein MobC	2
JKKLMG_26005	Protein MobB	2
JKKLMG_26040	Protein MobB	2
JKKLMG_26010	MbeD family mobilization/exclusion protein	2
JKKLMG_26045	MbeD family mobilization/exclusion protein	2
JKKLMG_26015	Addiction module toxin RelE	2
JKKLMG_26050	Addiction module toxin RelE	2
JKKLMG_26020	NadS family protein	2
JKKLMG_26055	NadS family protein	2
JKKLMG_26025	replication initiation protein	2
JKKLMG_26060	replication initiation protein	2
JKKLMG_16825	DMSO/selenate family reductase complex B subunit	2
JKKLMG_20025	DMSO/selenate family reductase complex B subunit	2
JKKLMG_20805	IS66 family ISKpn49 transposase	2
JKKLMG_24195	IS66 family ISKpn49 transposase	2
JKKLMG_20810	IS66 family insertion sequence element accessory protein TnpB	2
JKKLMG_24200	IS66 family insertion sequence element accessory protein TnpB	2
JKKLMG_06370	elongation factor Tu	2
JKKLMG_09555	elongation factor Tu	2
JKKLMG_06880	IS110 family IS5075 transposase	6
JKKLMG_24945	IS110 family IS5075 transposase	6
JKKLMG_25025	IS110 family IS5075 transposase	6
JKKLMG_25440	IS110 family IS5075 transposase	6
JKKLMG_25570	IS110 family IS5075 transposase	6
JKKLMG_25650	IS110 family IS5075 transposase	6
JKKLMG_19180	Lipoprotein	2
JKKLMG_19185	DUF3304 domain-containing protein	2
JKKLMG_11295	IS5 family IS903B transposase	3
JKKLMG_25465	IS5 family IS903B transposase	3
JKKLMG_25525	IS5 family transposase	3
JKKLMG_11310	Maltoporin	2
JKKLMG_08060	Maltoporin (phage lambda and maltose receptor)	2
JKKLMG_19860	class I fumarate hydratase FumA	2
JKKLMG_19705	class I fumarate hydratase FumA	2
